"","Survived","Pclass","Sex","Age","Fare","Segment_edat","Segment_tarifa","Segment_majors_menors"
"1","0","3","male",22,7.25,"20-30","7-10","Major d'edat"
"2","1","1","female",38,71.2833,"30-40","50-200","Major d'edat"
"3","1","3","female",26,7.925,"20-30","7-10","Major d'edat"
"4","1","1","female",35,53.1,"30-40","50-200","Major d'edat"
"5","0","3","male",35,8.05,"30-40","7-10","Major d'edat"
"7","0","1","male",54,51.8625,"50-60","50-200","Major d'edat"
"8","0","3","male",2,21.075,"0-10","15-30","Menor d'edat"
"9","1","3","female",27,11.1333,"20-30","10-15","Major d'edat"
"10","1","2","female",14,30.0708,"10-20","30-50","Menor d'edat"
"11","1","3","female",4,16.7,"0-10","15-30","Menor d'edat"
"12","1","1","female",58,26.55,"50-60","15-30","Major d'edat"
"13","0","3","male",20,8.05,"10-20","7-10","Major d'edat"
"14","0","3","male",39,31.275,"30-40","30-50","Major d'edat"
"15","0","3","female",14,7.8542,"10-20","7-10","Menor d'edat"
"16","1","2","female",55,16,"50-60","15-30","Major d'edat"
"17","0","3","male",2,29.125,"0-10","15-30","Menor d'edat"
"19","0","3","female",31,18,"30-40","15-30","Major d'edat"
"21","0","2","male",35,26,"30-40","15-30","Major d'edat"
"22","1","2","male",34,13,"30-40","10-15","Major d'edat"
"23","1","3","female",15,8.0292,"10-20","7-10","Menor d'edat"
"24","1","1","male",28,35.5,"20-30","30-50","Major d'edat"
"25","0","3","female",8,21.075,"0-10","15-30","Menor d'edat"
"26","1","3","female",38,31.3875,"30-40","30-50","Major d'edat"
"28","0","1","male",19,263,"10-20","200-600","Major d'edat"
"31","0","1","male",40,27.7208,"30-40","15-30","Major d'edat"
"34","0","2","male",66,10.5,"60-70","10-15","Major d'edat"
"35","0","1","male",28,82.1708,"20-30","50-200","Major d'edat"
"36","0","1","male",42,52,"40-50","50-200","Major d'edat"
"38","0","3","male",21,8.05,"20-30","7-10","Major d'edat"
"39","0","3","female",18,18,"10-20","15-30","Menor d'edat"
"40","1","3","female",14,11.2417,"10-20","10-15","Menor d'edat"
"41","0","3","female",40,9.475,"30-40","7-10","Major d'edat"
"42","0","2","female",27,21,"20-30","15-30","Major d'edat"
"44","1","2","female",3,41.5792,"0-10","30-50","Menor d'edat"
"45","1","3","female",19,7.8792,"10-20","7-10","Major d'edat"
"50","0","3","female",18,17.8,"10-20","15-30","Menor d'edat"
"51","0","3","male",7,39.6875,"0-10","30-50","Menor d'edat"
"52","0","3","male",21,7.8,"20-30","7-10","Major d'edat"
"53","1","1","female",49,76.7292,"40-50","50-200","Major d'edat"
"54","1","2","female",29,26,"20-30","15-30","Major d'edat"
"55","0","1","male",65,61.9792,"60-70","50-200","Major d'edat"
"57","1","2","female",21,10.5,"20-30","10-15","Major d'edat"
"59","1","2","female",5,27.75,"0-10","15-30","Menor d'edat"
"60","0","3","male",11,46.9,"10-20","30-50","Menor d'edat"
"61","0","3","male",22,7.2292,"20-30","7-10","Major d'edat"
"62","1","1","female",38,80,"30-40","50-200","Major d'edat"
"63","0","1","male",45,83.475,"40-50","50-200","Major d'edat"
"64","0","3","male",4,27.9,"0-10","15-30","Menor d'edat"
"67","1","2","female",29,10.5,"20-30","10-15","Major d'edat"
"68","0","3","male",19,8.1583,"10-20","7-10","Major d'edat"
"69","1","3","female",17,7.925,"10-20","7-10","Menor d'edat"
"70","0","3","male",26,8.6625,"20-30","7-10","Major d'edat"
"71","0","2","male",32,10.5,"30-40","10-15","Major d'edat"
"72","0","3","female",16,46.9,"10-20","30-50","Menor d'edat"
"73","0","2","male",21,73.5,"20-30","50-200","Major d'edat"
"74","0","3","male",26,14.4542,"20-30","10-15","Major d'edat"
"75","1","3","male",32,56.4958,"30-40","50-200","Major d'edat"
"76","0","3","male",25,7.65,"20-30","7-10","Major d'edat"
"80","1","3","female",30,12.475,"20-30","10-15","Major d'edat"
"81","0","3","male",22,9,"20-30","7-10","Major d'edat"
"82","1","3","male",29,9.5,"20-30","7-10","Major d'edat"
"84","0","1","male",28,47.1,"20-30","30-50","Major d'edat"
"85","1","2","female",17,10.5,"10-20","10-15","Menor d'edat"
"86","1","3","female",33,15.85,"30-40","15-30","Major d'edat"
"87","0","3","male",16,34.375,"10-20","30-50","Menor d'edat"
"89","1","1","female",23,263,"20-30","200-600","Major d'edat"
"90","0","3","male",24,8.05,"20-30","7-10","Major d'edat"
"91","0","3","male",29,8.05,"20-30","7-10","Major d'edat"
"92","0","3","male",20,7.8542,"10-20","7-10","Major d'edat"
"93","0","1","male",46,61.175,"40-50","50-200","Major d'edat"
"94","0","3","male",26,20.575,"20-30","15-30","Major d'edat"
"95","0","3","male",59,7.25,"50-60","7-10","Major d'edat"
"97","0","1","male",71,34.6542,"70-79","30-50","Major d'edat"
"98","1","1","male",23,63.3583,"20-30","50-200","Major d'edat"
"99","1","2","female",34,23,"30-40","15-30","Major d'edat"
"100","0","2","male",34,26,"30-40","15-30","Major d'edat"
"101","0","3","female",28,7.8958,"20-30","7-10","Major d'edat"
"103","0","1","male",21,77.2875,"20-30","50-200","Major d'edat"
"104","0","3","male",33,8.6542,"30-40","7-10","Major d'edat"
"105","0","3","male",37,7.925,"30-40","7-10","Major d'edat"
"106","0","3","male",28,7.8958,"20-30","7-10","Major d'edat"
"107","1","3","female",21,7.65,"20-30","7-10","Major d'edat"
"109","0","3","male",38,7.8958,"30-40","7-10","Major d'edat"
"111","0","1","male",47,52,"40-50","50-200","Major d'edat"
"113","0","3","male",22,8.05,"20-30","7-10","Major d'edat"
"114","0","3","female",20,9.825,"10-20","7-10","Major d'edat"
"115","0","3","female",17,14.4583,"10-20","10-15","Menor d'edat"
"116","0","3","male",21,7.925,"20-30","7-10","Major d'edat"
"118","0","2","male",29,21,"20-30","15-30","Major d'edat"
"119","0","1","male",24,247.5208,"20-30","200-600","Major d'edat"
"120","0","3","female",2,31.275,"0-10","30-50","Menor d'edat"
"121","0","2","male",21,73.5,"20-30","50-200","Major d'edat"
"125","0","1","male",54,77.2875,"50-60","50-200","Major d'edat"
"126","1","3","male",12,11.2417,"10-20","10-15","Menor d'edat"
"128","1","3","male",24,7.1417,"20-30","7-10","Major d'edat"
"130","0","3","male",45,6.975,"40-50","0-7","Major d'edat"
"131","0","3","male",33,7.8958,"30-40","7-10","Major d'edat"
"132","0","3","male",20,7.05,"10-20","7-10","Major d'edat"
"133","0","3","female",47,14.5,"40-50","10-15","Major d'edat"
"134","1","2","female",29,26,"20-30","15-30","Major d'edat"
"135","0","2","male",25,13,"20-30","10-15","Major d'edat"
"136","0","2","male",23,15.0458,"20-30","15-30","Major d'edat"
"137","1","1","female",19,26.2833,"10-20","15-30","Major d'edat"
"138","0","1","male",37,53.1,"30-40","50-200","Major d'edat"
"139","0","3","male",16,9.2167,"10-20","7-10","Menor d'edat"
"140","0","1","male",24,79.2,"20-30","50-200","Major d'edat"
"142","1","3","female",22,7.75,"20-30","7-10","Major d'edat"
"143","1","3","female",24,15.85,"20-30","15-30","Major d'edat"
"144","0","3","male",19,6.75,"10-20","0-7","Major d'edat"
"145","0","2","male",18,11.5,"10-20","10-15","Menor d'edat"
"146","0","2","male",19,36.75,"10-20","30-50","Major d'edat"
"147","1","3","male",27,7.7958,"20-30","7-10","Major d'edat"
"148","0","3","female",9,34.375,"0-10","30-50","Menor d'edat"
"150","0","2","male",42,13,"40-50","10-15","Major d'edat"
"151","0","2","male",51,12.525,"50-60","10-15","Major d'edat"
"152","1","1","female",22,66.6,"20-30","50-200","Major d'edat"
"156","0","1","male",51,61.3792,"50-60","50-200","Major d'edat"
"157","1","3","female",16,7.7333,"10-20","7-10","Menor d'edat"
"158","0","3","male",30,8.05,"20-30","7-10","Major d'edat"
"161","0","3","male",44,16.1,"40-50","15-30","Major d'edat"
"162","1","2","female",40,15.75,"30-40","15-30","Major d'edat"
"163","0","3","male",26,7.775,"20-30","7-10","Major d'edat"
"164","0","3","male",17,8.6625,"10-20","7-10","Menor d'edat"
"165","0","3","male",1,39.6875,"0-10","30-50","Menor d'edat"
"166","1","3","male",9,20.525,"0-10","15-30","Menor d'edat"
"168","0","3","female",45,27.9,"40-50","15-30","Major d'edat"
"170","0","3","male",28,56.4958,"20-30","50-200","Major d'edat"
"171","0","1","male",61,33.5,"60-70","30-50","Major d'edat"
"172","0","3","male",4,29.125,"0-10","15-30","Menor d'edat"
"173","1","3","female",1,11.1333,"0-10","10-15","Menor d'edat"
"174","0","3","male",21,7.925,"20-30","7-10","Major d'edat"
"175","0","1","male",56,30.6958,"50-60","30-50","Major d'edat"
"176","0","3","male",18,7.8542,"10-20","7-10","Menor d'edat"
"178","0","1","female",50,28.7125,"40-50","15-30","Major d'edat"
"179","0","2","male",30,13,"20-30","10-15","Major d'edat"
"180","0","3","male",36,0,"30-40",NA,"Major d'edat"
"183","0","3","male",9,31.3875,"0-10","30-50","Menor d'edat"
"184","1","2","male",1,39,"0-10","30-50","Menor d'edat"
"185","1","3","female",4,22.025,"0-10","15-30","Menor d'edat"
"188","1","1","male",45,26.55,"40-50","15-30","Major d'edat"
"189","0","3","male",40,15.5,"30-40","15-30","Major d'edat"
"190","0","3","male",36,7.8958,"30-40","7-10","Major d'edat"
"191","1","2","female",32,13,"30-40","10-15","Major d'edat"
"192","0","2","male",19,13,"10-20","10-15","Major d'edat"
"193","1","3","female",19,7.8542,"10-20","7-10","Major d'edat"
"194","1","2","male",3,26,"0-10","15-30","Menor d'edat"
"195","1","1","female",44,27.7208,"40-50","15-30","Major d'edat"
"196","1","1","female",58,146.5208,"50-60","50-200","Major d'edat"
"198","0","3","male",42,8.4042,"40-50","7-10","Major d'edat"
"200","0","2","female",24,13,"20-30","10-15","Major d'edat"
"201","0","3","male",28,9.5,"20-30","7-10","Major d'edat"
"203","0","3","male",34,6.4958,"30-40","0-7","Major d'edat"
"205","1","3","male",18,8.05,"10-20","7-10","Menor d'edat"
"206","0","3","female",2,10.4625,"0-10","10-15","Menor d'edat"
"207","0","3","male",32,15.85,"30-40","15-30","Major d'edat"
"208","1","3","male",26,18.7875,"20-30","15-30","Major d'edat"
"209","1","3","female",16,7.75,"10-20","7-10","Menor d'edat"
"210","1","1","male",40,31,"30-40","30-50","Major d'edat"
"211","0","3","male",24,7.05,"20-30","7-10","Major d'edat"
"212","1","2","female",35,21,"30-40","15-30","Major d'edat"
"213","0","3","male",22,7.25,"20-30","7-10","Major d'edat"
"214","0","2","male",30,13,"20-30","10-15","Major d'edat"
"216","1","1","female",31,113.275,"30-40","50-200","Major d'edat"
"217","1","3","female",27,7.925,"20-30","7-10","Major d'edat"
"218","0","2","male",42,27,"40-50","15-30","Major d'edat"
"219","1","1","female",32,76.2917,"30-40","50-200","Major d'edat"
"220","0","2","male",30,10.5,"20-30","10-15","Major d'edat"
"221","1","3","male",16,8.05,"10-20","7-10","Menor d'edat"
"222","0","2","male",27,13,"20-30","10-15","Major d'edat"
"223","0","3","male",51,8.05,"50-60","7-10","Major d'edat"
"225","1","1","male",38,90,"30-40","50-200","Major d'edat"
"226","0","3","male",22,9.35,"20-30","7-10","Major d'edat"
"227","1","2","male",19,10.5,"10-20","10-15","Major d'edat"
"229","0","2","male",18,13,"10-20","10-15","Menor d'edat"
"231","1","1","female",35,83.475,"30-40","50-200","Major d'edat"
"232","0","3","male",29,7.775,"20-30","7-10","Major d'edat"
"233","0","2","male",59,13.5,"50-60","10-15","Major d'edat"
"234","1","3","female",5,31.3875,"0-10","30-50","Menor d'edat"
